,Geographic Area,City,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
164,AL,Florence,35731.0,24.6,84.4,75.0,19.4,0.4,1.4,3.6
165,AL,Foley,40938.0,18.9,91.5,77.1,14.9,0.6,1.1,9.5
166,AL,Forestdale,48654.0,17.0,93.5,26.2,71.4,0.2,0.2,1.4
167,AL,Forkland,19063.0,48.1,74.1,11.9,87.4,0.2,0.0,0.8
168,AL,Fort Deposit,23963.0,30.2,70.5,23.7,75.5,0.1,0.1,0.4
169,AL,Fort Payne,38833.0,19.0,67.7,77.6,4.2,0.9,0.8,20.9
170,AL,Fort Rucker,59265.0,8.0,98.8,77.7,11.9,0.8,1.3,13.2
171,AL,Franklin,60417.0,6.6,85.0,47.7,49.7,0.0,1.3,0.0
172,AL,Fredonia,66591.0,18.4,88.6,87.9,11.6,0.0,0.0,0.0
173,AL,Frisco City,17311.0,31.3,77.3,45.4,49.3,1.3,0.0,1.8
174,AL,Fruitdale,63125.0,33.0,93.3,70.3,28.6,0.0,0.0,1.6
175,AL,Fruithurst,35625.0,13.5,75.8,98.2,0.0,1.1,0.4,0.0
176,AL,Fulton,32083.0,19.9,76.0,84.9,11.0,0.0,0.7,3.3
177,AL,Fultondale,51587.0,14.0,85.1,75.1,16.6,0.4,1.0,10.8
178,AL,Fyffe,42356.0,12.8,83.7,94.0,0.3,1.5,0.7,1.3
179,AL,Gadsden,29136.0,29.4,78.3,57.3,36.3,0.4,0.6,5.4
180,AL,Gainesville,14444.0,40.9,76.7,16.3,82.2,0.0,0.0,0.0
181,AL,Gallant,45859.0,3.9,83.7,96.7,0.2,0.6,0.0,1.6
182,AL,Gantt,47000.0,8.3,85.6,77.0,23.0,0.0,0.0,0.0
183,AL,Garden City,31591.0,19.3,79.8,98.2,0.2,0.4,0.0,0.4
184,AL,Gardendale,56132.0,7.8,92.2,88.4,8.6,0.3,1.2,1.5
185,AL,Gaylesville,26818.0,19.3,78.4,96.5,0.0,0.0,0.0,3.5
186,AL,Geiger,45125.0,19.5,71.3,26.5,73.5,0.0,0.0,2.9
187,AL,Geneva,29912.0,30.3,78.1,83.2,14.0,0.4,0.4,1.8
188,AL,Georgiana,19969.0,35.5,71.1,33.1,65.4,0.3,0.1,0.3
189,AL,Geraldine,42292.0,13.8,84.2,93.5,0.3,3.7,0.0,2.0
190,AL,Gilbertown,33750.0,21.5,83.8,77.2,21.9,0.0,0.5,0.0
191,AL,Glen Allen,24531.0,21.4,76.5,89.4,9.4,0.2,0.2,0.2
192,AL,Glencoe,46691.0,11.1,86.6,96.5,1.3,0.3,0.5,0.8
193,AL,Glenwood,36000.0,13.6,84.8,70.1,29.9,0.0,0.0,0.0
194,AL,Goldville,46250.0,9.3,86.7,100.0,0.0,0.0,0.0,5.5
195,AL,Good Hope,47754.0,15.2,86.5,92.7,0.3,0.4,0.5,7.7
196,AL,Goodwater,23809.0,32.2,71.6,24.3,73.7,0.7,0.0,0.7
197,AL,Gordo,30781.0,26.3,80.4,58.9,37.8,0.2,0.2,1.5
198,AL,Gordon,22250.0,26.9,66.8,21.4,76.5,0.3,0.0,1.5
199,AL,Gordonville,18224.0,39.2,76.1,5.2,94.8,0.0,0.0,0.0
200,AL,Goshen,40132.0,31.9,71.2,76.7,22.6,0.4,0.0,0.0
201,AL,Graham,41914.0,4.5,74.0,83.9,16.1,0.0,0.0,0.0
202,AL,Grand Bay,48767.0,6.4,84.6,86.9,9.4,0.6,0.7,2.3
203,AL,Grant,55000.0,7.2,89.2,98.1,0.0,0.0,0.4,1.3
204,AL,Grayson Valley,46250.0,8.9,90.4,70.6,25.8,0.3,0.9,2.2
205,AL,Graysville,41282.0,17.4,79.8,73.9,23.6,0.4,0.2,1.7
206,AL,Greensboro,21797.0,39.3,75.0,32.0,66.5,0.2,0.8,0.5
207,AL,Greenville,29741.0,25.8,78.4,41.7,55.5,0.0,1.8,1.3
208,AL,Grimes,31579.0,19.1,84.5,55.9,36.7,0.0,0.0,2.9
209,AL,Grove Hill,31786.0,26.1,85.8,56.6,41.3,0.3,0.3,2.0
210,AL,Guin,23000.0,37.5,75.4,86.9,10.9,0.0,0.1,1.3
211,AL,Gulfcrest,68462.0,0.0,87.2,88.2,3.1,5.6,0.0,1.2
212,AL,Gulf Shores,47662.0,16.6,92.9,93.4,1.5,0.5,0.9,4.0
213,AL,Guntersville,39756.0,16.2,83.1,85.8,7.8,0.5,1.5,3.8
214,AL,Gurley,32500.0,30.8,74.5,76.3,17.1,1.7,1.2,3.5
215,AL,Gu-Win,39000.0,12.0,87.2,85.8,5.1,4.0,0.0,4.0
216,AL,Hackleburg,28819.0,25.7,76.5,97.7,0.1,0.2,0.0,1.3
217,AL,Hackneyville,60474.0,17.8,95.1,97.7,0.9,0.3,1.2,0.3
218,AL,Haleburg,54167.0,8.3,80.0,94.2,4.9,0.0,0.0,0.0
219,AL,Haleyville,24291.0,26.8,70.7,92.1,0.7,1.0,0.5,6.0
220,AL,Hamilton,33053.0,18.5,82.7,89.3,7.7,0.4,0.2,3.1
221,AL,Hammondville,43281.0,8.0,74.5,90.0,0.8,0.2,0.6,6.8
222,AL,Hanceville,29231.0,25.8,77.7,92.4,3.6,0.2,0.7,2.4
223,AL,Harpersville,35972.0,18.8,80.7,73.1,23.5,0.3,0.7,2.6
224,AL,Hartford,22094.0,36.7,70.6,77.9,17.9,0.6,0.1,3.1
225,AL,Hartselle,53878.0,6.9,91.9,91.5,4.3,0.8,0.4,2.5
226,AL,Harvest,63708.0,5.5,90.6,62.2,31.7,0.5,1.2,3.1
227,AL,Hayden,50795.0,7.9,83.4,87.6,8.8,0.7,0.2,0.0
228,AL,Hayneville,18802.0,44.4,72.1,15.0,84.5,0.0,0.0,0.1
229,AL,Hazel Green,41938.0,14.9,88.2,88.9,5.9,1.5,0.4,2.3
230,AL,Headland,51822.0,13.1,88.1,70.1,27.5,0.4,0.3,1.4
231,AL,Heath,38333.0,32.5,80.3,88.6,10.6,0.0,0.0,1.2
232,AL,Heflin,25823.0,22.6,74.3,87.3,9.4,0.5,0.1,2.4
233,AL,Helena,84615.0,2.1,97.7,82.5,13.1,0.2,1.5,3.3
234,AL,Henagar,30757.0,19.4,71.7,96.2,0.0,1.8,0.0,1.4
235,AL,Highland Lake,51250.0,9.2,94.3,98.8,0.0,1.0,0.2,0.7
236,AL,Highland Lakes,124291.0,2.0,97.6,87.6,7.6,0.2,2.3,1.6
237,AL,Hillsboro,34712.0,17.6,74.6,14.1,80.1,1.8,0.2,1.6
238,AL,Hissop,25032.0,23.2,73.8,25.1,74.3,0.0,0.2,2.0
239,AL,Hobson City,25563.0,41.3,77.3,12.6,85.9,0.0,0.4,1.3
240,AL,Hodges,29583.0,26.9,69.3,98.6,0.0,1.4,0.0,1.0
